123,67
239,346
150,53
189,141
488,474
174,477
103,21
35,360
180,32
301,349
267,498
491,475
197,378
393,294
102,66
149,266
9,158
235,137
34,99
281,370
417,58
72,413
280,488
4,436
22,81
330,318
387,47
199,331
456,443
219,149
318,146
425,323
245,392
72,391
440,107
56,327
311,6
178,408
473,371
268,449
202,27
200,298
90,201
154,137
228,490
310,494
454,112
40,455
484,29
258,407
32,77
449,462
32,417
311,58
406,436
462,55
154,264
15,167
493,342
337,505
500,389
492,353
222,399
258,133
393,481
416,264
416,65
334,369
469,220
208,9
450,229
18,181
438,400
312,414
416,297
335,428
38,277
261,224
11,442
228,427
261,98
308,140
121,112
274,456
502,212
442,431
66,181
311,304
112,431
364,258
289,82
387,282
269,382
19,353
144,81
448,91
205,216
475,258
335,298
343,205
164,159
449,110
413,307
349,412
314,23
151,442
113,266
10,404
153,452
423,147
263,93
302,361
19,199
480,464
154,417
84,103
396,65
206,224
2,35
188,51
373,445
434,91
83,448
311,297
302,336
341,246
364,319
263,278
155,196
310,426
45,282
113,150
390,53
28,158
91,191
416,32
117,55
426,260
317,384
337,497
132,179
498,165
428,440
180,226
301,483
382,474
378,158
320,17
121,370
476,10
90,46
254,217
290,28
141,34
216,233
142,10
211,238
167,107
193,385
224,35
116,426
165,32
83,314
204,342
477,4
380,199
163,62
329,466
56,98
340,334
467,416
432,449
167,321
54,383
56,346
435,241
78,100
470,225
498,186
355,103
479,484
43,177
436,204
17,190
192,487
79,263
128,94
315,187
278,359
257,442
76,429
408,445
451,13
290,35
230,206
18,190
191,194
16,317
309,404
470,63
344,430
448,157
404,320
236,267
144,100
368,54
124,415
101,320
366,446
363,174
265,210
337,20
219,452
3,371
443,142
186,306
450,362
342,206
462,231
483,322
17,441
213,120
151,168
278,242
70,415
261,0
98,502
154,350
320,77
420,89
304,176
312,122
267,184
462,219
453,458
334,185
234,338
209,56
79,160
37,24
263,305
183,123
58,14
8,144
164,202
34,463
402,350
470,284
41,188
345,14
107,81
353,110
273,415
331,373
330,102
27,308
47,72
323,79
220,150
210,147
223,104
308,47
94,59
265,290
284,84
89,447
490,283
270,105
463,124
216,317
446,234
231,33
58,104
383,182
457,166
44,2
254,252
252,500
63,359
419,191
166,172
169,11
324,46
18,408
273,95
410,194
378,203
401,97
161,183
209,457
108,252
130,58
439,410
11,121
384,130
491,28
81,121
375,158
20,59
392,58
285,51
193,274
376,105
121,73
303,93
56,217
304,202
368,252
127,405
19,153
221,464
259,393
284,395
389,136
274,181
291,154
227,399
91,337
499,121
503,104
489,355
476,290
353,222
24,147
235,8
